,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM,Uzrok
128,DARUVAR,9,DARUVAR,AMBULANTA ZAVODA ZA JAVNO ZDRAVSTVO HES,"PETRA SVAČIĆA 48, DARUVAR",600,288,11,126,72,"9 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
129,DARUVAR,7,DARUVAR,HRVATSKE ŠUME ZAGREB UPRAVA ŠUMA BJELOVAR  ŠUMARIJA DARUVAR,"PETRA ZRINSKOG 1, DARUVAR",884,363,23,141,111,"7 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
130,DARUVAR,1,DARUVAR,HRVATSKI DOM,"TRG PRESVETOG TROJSTVA 4, DARUVAR",423,168,9,54,64,"1 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
131,DARUVAR,4,DARUVAR,OSNOVNA  ŠKOLA VLADIMIR NAZOR,"KRSTE FRANKOPANA 80, DARUVAR",806,319,21,108,87,"4 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
132,DARUVAR,3,DARUVAR,OSNOVNA ŠKOLA VLADIMIR NAZOR,"KRSE FRANKOPANA 80, DARUVAR",844,330,11,116,113,"3 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
133,DARUVAR,11,DARUVAR,OSNOVNA ŠKOLA VLADIMIR NAZOR,"KRSTE FRANKOPANA 80, DARUVAR",1241,496,26,203,136,"5 DARUVAR, DARUVAR6 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
134,DARUVAR,11,DARUVAR,OSNOVNA ŠKOLA VLADIMIR NAZOR,"LJUDEVITA GAJA 24, DARUVAR",389,182,5,72,71,"11 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
135,DARUVAR,10,DARUVAR,VIJEĆNICA UDRUŽENJA OBRTNIKA,"JOSIPA JELAČIĆA 15, DARUVAR",315,164,4,57,57,"10 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
136,DARUVAR,25,DARUVAR,ČEŠKI DOM DARUVAR,"T. G. MASARYKA 5, DARUVAR",1270,575,28,197,185,"12 DARUVAR, DARUVAR13 DARUVAR, DARUVAR",Preostale BM koje kada bi se zbrojile su prevelike
137,"ZAGREB-CENTAR, ZAPAD",279,DINKO ŠIMUNOVIĆ,DJEČJI VRTIĆ MALI PRINC,"LAŠĆINSKA CESTA 17, ZAGREB-CENTAR, ZAPAD",3275,1614,104,458,311,"92 DINKO ŠIMUNOVIĆ, ZAGREBCENTAR ZAPAD93 DINKO ŠIMUNOVIĆ, ZAGREBCENTAR ZAPAD94 DINKO ŠIMUNOVIĆ, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
138,"ZAGREB-CENTAR, ZAPAD",191,DOBRI DOL,PROSTORIJE MJESNOG ODBORA,"DOBRI DOL 49, ZAGREB-CENTAR, ZAPAD",2301,1291,120,379,250,"95 DOBRI DOL, ZAGREBCENTAR ZAPAD96 DOBRI DOL, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
139,ŽUPA DUBROVAČKA,2,DOM NA DONJEM BRGATU,DONJI BRGAT,"PUT  KRALJA TOMISLAVA 32, ŽUPA DUBROVAČKA",262,156,5,107,9,"2 DOM NA DONJEM BRGATU, ŽUPA DUBROVAČKA",Nema u 2016/2015
140,VIDOVEC,3,DOMITROVEC,PROSTORIJE ETNO KUĆE U DOMITROVCU,"GLAVNA ULICA 32, VIDOVEC",418,142,2,40,36,"3 DOMITROVEC, VIDOVEC",Nema u 2016/2015
141,SAMOBOR,13,DREŽNIK PODOKIĆKI,DRUŠTVENI DOM DREŽNIK PODOKIĆKI,"DREŽNIK PODOKIĆKI, SAMOBOR",215,124,2,34,45,"13 DREŽNIK PODOKIĆKI, SAMOBOR",Nema u 2016/2015
142,LIPIK,4,DRUŠTVENI DOM U ANTUNOVCU,ANTUNOVAC,"POLJANSKA 79, LIPIK",282,109,2,53,20,"4 DRUŠTVENI DOM U ANTUNOVCU, LIPIK",Nema u 2016/2015
143,LIPIK,5,DRUŠTVENI DOM U BREKINSKOJ,BREKINSKA,"BREKINSKA 65, LIPIK",96,48,0,38,5,"5 DRUŠTVENI DOM U BREKINSKOJ, LIPIK",Nema u 2016/2015
144,LIPIK,6,DRUŠTVENI DOM U BREZINAMA,BREZINE,"BREZINE 49, LIPIK",175,87,1,51,13,"6 DRUŠTVENI DOM U BREZINAMA, LIPIK",Nema u 2016/2015
145,LIPIK,9,DRUŠTVENI DOM U DONJEM ČAGLIĆU,DONJI ČAGLIĆ,"UL. ROBERTA ŽILIJA 92, LIPIK",295,126,3,64,25,"9 DRUŠTVENI DOM U DONJEM ČAGLIĆU, LIPIK",Nema u 2016/2015
146,LIPIK,10,DRUŠTVENI DOM U FILIPOVCU,FILIPOVAC,"TABOR 14, LIPIK",313,145,5,60,49,"10 DRUŠTVENI DOM U FILIPOVCU, LIPIK",Nema u 2016/2015
147,LIPIK,11,DRUŠTVENI DOM U GAJU,GAJ,"SLAVKA SUDRE 2, LIPIK",226,128,4,72,25,"11 DRUŠTVENI DOM U GAJU, LIPIK",Nema u 2016/2015
148,LIPIK,12,DRUŠTVENI DOM U JAPAGI,JAPAGA,"PSUNJSKA 11, LIPIK",138,37,0,21,10,"12 DRUŠTVENI DOM U JAPAGI, LIPIK",Nema u 2016/2015
149,LIPIK,14,DRUŠTVENI DOM U KLISI,KLISA,"KLISA 42, LIPIK",64,30,0,18,2,"14 DRUŠTVENI DOM U KLISI, LIPIK",Nema u 2016/2015
150,LIPIK,15,DRUŠTVENI DOM U KUKUNJEVCU,KUKUNJEVAC,"FRANJE FILIPOVIĆA 106, LIPIK",195,61,6,22,25,"15 DRUŠTVENI DOM U KUKUNJEVCU, LIPIK",Nema u 2016/2015
151,LIPIK,2,DRUŠTVENI DOM U LIPIKU,LIPIK,"SLAVONSKA 45, LIPIK",458,202,10,97,42,"2 DRUŠTVENI DOM U LIPIKU, LIPIK",Nema u 2016/2015
152,LIPIK,16,DRUŠTVENI DOM U MARINOM SELU,MARINO SELO,"MARINO SELO 55 A, LIPIK",222,112,0,72,7,"16 DRUŠTVENI DOM U MARINOM SELU, LIPIK",Nema u 2016/2015
153,LIPIK,18,DRUŠTVENI DOM U ŠEOVICI,ŠEOVICA,"OMANOVAČKA 93, LIPIK",207,51,2,24,5,"18 DRUŠTVENI DOM U ŠEOVICI, LIPIK",Nema u 2016/2015
154,DUBROVNIK,2,DUBRAVICA MODUBRAVICA,KUĆA ANE MILIĆ,"DUBRAVICA BB, DUBROVNIK",32,26,0,24,0,"2 DUBRAVICA MODUBRAVICA, DUBROVNIK",Nema u 2016/2015
155,DUBROVNIK,6,DUBROVNIK GK GRAD,OSNOVNA ŠKOLA MARINA GETALDIĆA DVORANA B,"N.GUČETIĆA 1, DUBROVNIK",777,389,33,150,74,"6 DUBROVNIK GK GRAD, DUBROVNIK",Nema u 2016/2015
156,DUBROVNIK,7,DUBROVNIK GK GRAD,OSNOVNA ŠKOLA MARINA GETALDIĆA DVORANA A,"N. GUČETIĆA 1, DUBROVNIK",1074,479,46,167,96,"7 DUBROVNIK GK GRAD, DUBROVNIK",Nema u 2016/2015
157,DUBROVNIK,22,DUBROVNIK GK GRUŽ,PROSTORIJE GRADSKE ORGANIZACIJE  CRVENOG KRIŽA,"OBALA PAPE IVANA  PAVLA II 61, DUBROVNIK",589,227,23,75,79,"22 DUBROVNIK GK GRUŽ, DUBROVNIK",Nema u 2016/2015
158,DUBROVNIK,23,DUBROVNIK GK GRUŽ,AMBULANTA GRUŽ,"ANDRIJE  HEBRANGA 79, DUBROVNIK",990,388,33,159,118,"23 DUBROVNIK GK GRUŽ, DUBROVNIK",Nema u 2016/2015
159,DUBROVNIK,24,DUBROVNIK GK GRUŽ,OSNOVNA ŠKOLA IVAN GUNDULIĆ DVORANA A,"SUSTJEPANSKA 14, DUBROVNIK",1286,528,50,190,134,"24 DUBROVNIK GK GRUŽ, DUBROVNIK",Nema u 2016/2015
160,DUBROVNIK,25,DUBROVNIK GK GRUŽ,PROSTORIJE GRADSKOG KOTARA GRUŽ,"OBALA STJEPANA RADIĆA 29, DUBROVNIK",1017,424,38,138,126,"25 DUBROVNIK GK GRUŽ, DUBROVNIK",Nema u 2016/2015
161,DUBROVNIK,26,DUBROVNIK GK GRUŽ,OSNOVNA ŠKOLA IVAN GUNDULIĆ DVORANA B,"SUSTJEPANSKA 14, DUBROVNIK",1424,596,65,249,130,"26 DUBROVNIK GK GRUŽ, DUBROVNIK",Nema u 2016/2015
162,DUBROVNIK,27,DUBROVNIK GK GRUŽ,OPĆINSKI SUD U DUBROVNIKU SUDNICA BROJ 1,"DR. ANTE STARČEVIĆA 23, DUBROVNIK",926,386,34,142,105,"27 DUBROVNIK GK GRUŽ, DUBROVNIK",Nema u 2016/2015
163,DUBROVNIK,16,DUBROVNIK GK LAPAD,GRADSKI KOTAR LAPAD,"KNEZA DOMAGOJA 2, DUBROVNIK",1069,480,54,144,157,"16 DUBROVNIK GK LAPAD, DUBROVNIK",Nema u 2016/2015
164,DUBROVNIK,17,DUBROVNIK GK LAPAD,OSNOVNA ŠKOLA  LAPAD,"OD BATALE  26, DUBROVNIK",1184,496,59,161,126,"17 DUBROVNIK GK LAPAD, DUBROVNIK",Nema u 2016/2015
165,DUBROVNIK,18,DUBROVNIK GK LAPAD,DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA A,"KRALJA TOMISLAVA  7, DUBROVNIK",938,452,50,155,103,"18 DUBROVNIK GK LAPAD, DUBROVNIK",Nema u 2016/2015
166,DUBROVNIK,19,DUBROVNIK GK LAPAD,DUBROVAČKI OPSKRBNI CENTAR PROSTORIJA B,"KRALJA TOMISLAVA 7, DUBROVNIK",553,266,25,91,53,"19 DUBROVNIK GK LAPAD, DUBROVNIK",Nema u 2016/2015
167,DUBROVNIK,20,DUBROVNIK GK LAPAD,UPRAVNA ZGRADA DUBROVNIK  BABIN KUK,"ĆIRA CARIĆA 3, DUBROVNIK",1335,642,90,248,137,"20 DUBROVNIK GK LAPAD, DUBROVNIK",Nema u 2016/2015
168,DUBROVNIK,21,DUBROVNIK GK LAPAD,DJEČJI  VRTIĆ RADOST,"ŽRTAVA S DAKSE 36, DUBROVNIK",564,282,47,77,74,"21 DUBROVNIK GK LAPAD, DUBROVNIK",Nema u 2016/2015
