,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM,Uzrok
355,BUJE - BUIE,7,MOMJANMOMIANO,OSNOVNA ŠKOLA MOMJANSCUOLA ELEMENTARE MOMIANO,"MOMJAN BB, BUJE - BUIE",375,103,2,23,37,"7 MOMJANMOMIANO, BUJE  BUIE",Nema u 2016/2015
356,DUBROVNIK,41,MRAVINJAC MO MRAVINJAC,MJESNI ODBOR MRAVINJAC,"MRAVINJAC BB, DUBROVNIK",53,48,2,33,10,"41 MRAVINJAC MO MRAVINJAC, DUBROVNIK",Nema u 2016/2015
357,DUBROVNIK,42,MRČEVO MO MRČEVO,MJESNI ODBOR MRČEVO,"MRČEVO BB, DUBROVNIK",95,63,3,54,0,"42 MRČEVO MO MRČEVO, DUBROVNIK",Nema u 2016/2015
358,UMAG - UMAGO,6,MURINEMORNO,PODRUČNA ŠKOLA MURINE,"PRVA ULICA 3, UMAG - UMAGO",886,326,17,76,129,"6 MURINEMORNO, UMAG  UMAGO",Nema u 2016/2015
359,"ZAGREB-CENTAR, ZAPAD",282,NIKOLA TESLA,ŠPORTSKA GIMNAZIJA,"SELSKA CESTA 119, ZAGREB-CENTAR, ZAPAD",2450,1250,120,276,279,"140 NIKOLA TESLA, ZAGREBCENTAR ZAPAD142 NIKOLA TESLA, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
360,VELIKA TRNOVITICA,3,NOVA PLOŠČICA,MJESNI DOM,"NOVA PLOŠČICA 73, VELIKA TRNOVITICA",270,121,8,50,19,"3 NOVA PLOŠČICA, VELIKA TRNOVITICA",Nema u 2016/2015
361,BRTONIGLA - VERTENEGLIO,2,NOVA VASVILLANOVA,ZGRADA ZAJEDNICE TALIJANA,"NOVA VAS 4, BRTONIGLA - VERTENEGLIO",316,122,6,33,55,"2 NOVA VASVILLANOVA, BRTONIGLA  VERTENEGLIO",Nema u 2016/2015
362,NOVIGRAD - CITTANOVA,1,NOVIGRADCITTANOVA,OSNOVNA ŠKOLA RIVARELA,"EMONIJSKA 4, NOVIGRAD, NOVIGRAD - CITTANOVA",1832,621,21,159,274,"1 NOVIGRADCITTANOVA, NOVIGRAD  CITTANOVA",Nema u 2016/2015
363,NOVIGRAD - CITTANOVA,2,NOVIGRADCITTANOVA,OSNOVNA ŠKOLA RIVARELA,"EMONIJSKA 4, NOVIGRAD, NOVIGRAD - CITTANOVA",1472,628,23,92,358,"2 NOVIGRADCITTANOVA, NOVIGRAD  CITTANOVA",Nema u 2016/2015
364,NOVSKA,4,NOVSKA,DJEČJI VRTIĆ RADOST,"ULICA I. BRLIĆ MAŽURANIĆ 1, NOVSKA",1193,584,35,268,103,"4 NOVSKA, NOVSKA",Preostale BM koje kada bi se zbrojile su prevelike
365,NOVSKA,2,NOVSKA,DJEČJI VRTIĆ STRIBOR,"POSAVSKA 5, NOVSKA",1221,571,31,280,98,"2 NOVSKA, NOVSKA",Preostale BM koje kada bi se zbrojile su prevelike
366,NOVSKA,5,NOVSKA,PODUZETNIČKI INKUBATOR PISMO,"TRG L. ILIĆA ORIOVČANINA 8, NOVSKA",532,224,13,101,48,"5 NOVSKA, NOVSKA",Preostale BM koje kada bi se zbrojile su prevelike
367,NOVSKA,6,NOVSKA,ZGRADA RAZVOJNE AGENCIJE NOVSKA NORA,"POTOČNA ULICA 25, NOVSKA",1019,423,30,200,73,"6 NOVSKA, NOVSKA",Preostale BM koje kada bi se zbrojile su prevelike
368,OPATIJA,2,OPATIJA,DOM LIBURNIJA PROSTORIJE MJESNOG ODBORA,"ANDRIJE ŠTANGERA 48, OPATIJA",629,305,7,74,111,"2 OPATIJA, OPATIJA",Preostale BM koje kada bi se zbrojile su prevelike
369,OPATIJA,10,OPATIJA,PROSTORIJE DJEČJEG VRTIĆA PUNTA KOLOVA,"ANTONA MIHIĆA 5/A, OPATIJA",404,187,8,41,81,"10 OPATIJA, OPATIJA",Preostale BM koje kada bi se zbrojile su prevelike
370,OPATIJA,12,OPATIJA,PROSTORIJE MJESNOG ODBORA,"J. RAKOVCA 15, OPATIJA",595,288,16,70,119,"12 OPATIJA, OPATIJA",Preostale BM koje kada bi se zbrojile su prevelike
371,OPATIJA,3,OPATIJA,PROSTORIJE MJESNOG ODBORA  OPATIJA  KOSOVO,"KOSIĆEVO 7, OPATIJA",821,433,22,110,192,"3 OPATIJA, OPATIJA",Preostale BM koje kada bi se zbrojile su prevelike
372,OPRTALJ - PORTOLE,1,OPRTALJPOTROLE,ZGRADA OPĆINE OPRTALJ,"MATKA LAGINJE 21, OPRTALJ, OPRTALJ - PORTOLE",376,125,3,18,64,"1 OPRTALJPOTROLE, OPRTALJ  PORTOLE",Nema u 2016/2015
373,DUBROVNIK,43,ORAŠAC MO ORAŠAC,MATIČNI URED ORAŠAC,"NA KOMARDI 21, DUBROVNIK",622,345,47,175,45,"43 ORAŠAC MO ORAŠAC, DUBROVNIK",Nema u 2016/2015
374,IVANEC,30,OSEČKA,DRUŠTVENI DOM,"OSEČKA, IVANEC",183,106,1,32,7,"30 OSEČKA, IVANEC",Nema u 2016/2015
375,OSIJEK,4,OSIJEK,DJEČJI VRTIĆ SUNČICA,"KOLODVORSKA 61A, OSIJEK",1047,541,47,236,100,"4 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
376,OSIJEK,16,OSIJEK,GRADSKA ČETVRT GORNJI GRAD,"JOSIPA JURJA STROSSMAYERA 68, OSIJEK",954,477,27,180,129,"16 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
377,OSIJEK,37,OSIJEK,GRADSKA ČETVRT INDUSTRIJSKA ČETVRT DVORAC MAČKAMAMA,"DRINSKA 2, OSIJEK",508,256,12,104,47,"37 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
378,OSIJEK,59,OSIJEK,GRADSKA ČETVRT NOVI GRAD,"UICA KRALJA PETRA SVAČIĆA 36, OSIJEK",653,303,34,117,63,"59 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
379,OSIJEK,310,OSIJEK,GRADSKA ČETVRT NOVI GRAD,"ULICA KRALJA PETRA SVAČIĆA 36, OSIJEK",4053,1953,132,725,425,"60 OSIJEK, OSIJEK61 OSIJEK, OSIJEK62 OSIJEK, OSIJEK63 OSIJEK, OSIJEK64 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
380,OSIJEK,44,OSIJEK,IIGIMNAZIJA OSIJEK,"ULICA KAMILA FIRINGERA 5, OSIJEK",293,132,10,38,40,"44 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
381,OSIJEK,31,OSIJEK,MATICA HRVATSKIH UMIROVLJENIKA,"REISNEROVA ULICA 48, OSIJEK",451,187,8,64,55,"31 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
382,OSIJEK,207,OSIJEK,MJESNO ODBOR CVJETNO,"VIJENAC LIPA 36, OSIJEK",1497,746,53,317,146,"103 OSIJEK, OSIJEK104 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
383,OSIJEK,75,OSIJEK,OSNOVNA ŠKOLA AUGUST ŠENOA,"DRINSKA 14, OSIJEK",1586,806,41,296,188,"35 OSIJEK, OSIJEK40 OSIJEK, OSIJEK",Preostale BM koje kada bi se zbrojile su prevelike
384,LIPIK,1,OSNOVNA ŠKOLA LIPIK,LIPIK,"ŠKOLSKA 25, LIPIK",687,346,25,158,70,"1 OSNOVNA ŠKOLA LIPIK, LIPIK",Nema u 2016/2015
385,LIPIK,8,OSNOVNA ŠKOLA U DOBROVCU,DOBROVAC,"STJEPANA RADIĆA 54, LIPIK",316,148,6,88,26,"8 OSNOVNA ŠKOLA U DOBROVCU, LIPIK",Nema u 2016/2015
386,LIPIK,17,OSNOVNA ŠKOLA U POLJANI,POLJANA,"ANTUNOVAČKA 23, LIPIK",423,189,8,102,29,"17 OSNOVNA ŠKOLA U POLJANI, LIPIK",Nema u 2016/2015
387,DUBROVNIK,44,OSOJNIK MOOSOJNIK,MJESNI ODBOR OSOJNIK,"NA GUTIĆI 11 , OSOJNIK, DUBROVNIK",263,200,9,163,5,"44 OSOJNIK MOOSOJNIK, DUBROVNIK",Nema u 2016/2015
388,OTOČAC,9,OTOČAC  ZGRADA GACKOG PUČKOG O UČ PRIZ,ZGRADA GACKOG PUČKOG O UČ PRIZ,"OTOČAC, OTOČAC",1090,342,19,176,50,"9 OTOČAC  ZGRADA GACKOG PUČKOG O UČ PRIZ, OTOČAC",Nema u 2016/2015
389,OTOČAC,8,OTOČACZGRADA GACKOG PUČKOG  O UČ KAT,ZGRADA GACKOG  PUČKOG O UČKAT,"OTOČAC, OTOČAC",836,365,22,178,68,"8 OTOČACZGRADA GACKOG PUČKOG  O UČ KAT, OTOČAC",Nema u 2016/2015
390,PLETERNICA,6,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA,KUZMICA,"KUZMICA 90, PLETERNICA",575,311,50,138,38,"6 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA, PLETERNICA",Nema u 2016/2015
391,PLETERNICA,12,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA,SESVETE,"SESVETE BB, PLETERNICA",102,58,5,21,1,"12 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA, PLETERNICA",Nema u 2016/2015
392,PLETERNICA,19,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA,RATKOVICA,"RATKOVICA BB, PLETERNICA",211,85,0,58,6,"19 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA, PLETERNICA",Nema u 2016/2015
393,PLETERNICA,21,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA,BUČJE,"BUČJE 38, PLETERNICA",225,106,8,83,2,"21 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA, PLETERNICA",Nema u 2016/2015
394,PLETERNICA,22,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA,ZAGRAĐE,"ZAGRAĐE 37, PLETERNICA",375,217,21,130,9,"22 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA, PLETERNICA",Nema u 2016/2015
395,PLETERNICA,25,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA,GRADAC,"STJEPANA RADIĆA 211, PLETERNICA",752,398,65,199,31,"25 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA, PLETERNICA",Nema u 2016/2015
396,PLETERNICA,27,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA,ZARILAC,"ZARILAC 39, PLETERNICA",127,67,4,27,11,"27 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA, PLETERNICA",Nema u 2016/2015
397,PLETERNICA,36,OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA FRKLJEVCI,KADANOVCI,"KADANOVCI 5, PLETERNICA",454,252,23,154,26,"36 OŠ FRA KAJE ADŽIĆA PODRUČNA ŠKOLA FRKLJEVCI, PLETERNICA",Nema u 2016/2015
398,VODNJAN - DIGNANO,1,PEROJ  BIRAČKO MJESTO BR 1,BIVŠA MJESNA ZAJEDNICA,"PEROJ 44, VODNJAN - DIGNANO",938,380,11,79,197,"1 PEROJ  BIRAČKO MJESTO BR 1, VODNJAN  DIGNANO",Nema u 2016/2015
399,PERUŠIĆ,8,PERUŠIĆ,DRUŠTVENI DOM DONJI KOSINJ,"DONJI KOSINJ, PERUŠIĆ",120,88,1,67,1,"8 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
400,PERUŠIĆ,11,PERUŠIĆ,DRUŠTVENI DOM KOSINJSKI BAKOVAC,"KOSINJSKI BAKOVAC, PERUŠIĆ",83,61,3,55,0,"11 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
401,PERUŠIĆ,14,PERUŠIĆ,DRUŠTVENI DOM LIPOVO POLJE,"LIPOVO POLJE, PERUŠIĆ",94,39,1,12,22,"14 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
402,PERUŠIĆ,7,PERUŠIĆ,KUĆA GORDANE PETRIĆ STUDENCI,"STUDENCI 51 A, PERUŠIĆ",40,12,0,3,6,"7 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
403,PERUŠIĆ,6,PERUŠIĆ,KUĆA IVANA ARBANASA KALUĐEROVAC,"KALUĐEROVAC 29, PERUŠIĆ",19,11,0,9,0,"6 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
404,PERUŠIĆ,5,PERUŠIĆ,KUĆA JURE JURKOVIĆA,"KVARTE 41 A, PERUŠIĆ",219,120,3,68,5,"5 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
405,PERUŠIĆ,13,PERUŠIĆ,KUĆA RAJKA ŠTAKIĆA,"MLAKVA 48/1, PERUŠIĆ",60,18,0,3,15,"13 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
406,PERUŠIĆ,12,PERUŠIĆ,OSNOVNA ŠKOLA ANŽ FRANKOPAN  GORNJI KOSINJ,"GORNJI KOSINJ, PERUŠIĆ",96,49,0,35,0,"12 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
407,PERUŠIĆ,3,PERUŠIĆ,STAMBENA ZGRADA STARA KUKČEVKA  PRIZEMLJE,"PERUŠIĆ, STJEPANA RADIĆA 2, PERUŠIĆ",908,462,24,243,79,"1 PERUŠIĆ, PERUŠIĆ2 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
408,PERUŠIĆ,9,PERUŠIĆ,ZGRADA BIVŠE OSNOVNE ŠKOLE RUDINKA,"DONJI KOSINJ, PERUŠIĆ",136,105,0,99,1,"9 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
409,PERUŠIĆ,3,PERUŠIĆ,ZGRADA BIVŠE OSNOVNE ŠKOLE U POCRNIĆIMA,"PERUŠIĆ, PERUŠIĆ",71,13,1,10,1,"3 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
410,PERUŠIĆ,10,PERUŠIĆ,ZGRADA BIVŠE OSNOVNE ŠKOLE VUKELIĆI,"DONJI KOSINJ, PERUŠIĆ",103,52,2,36,1,"10 PERUŠIĆ, PERUŠIĆ",Preostale BM koje kada bi se zbrojile su prevelike
411,"ZAGREB-CENTAR, ZAPAD",55,PETAR ZRINSKI,I TEHNIČKA ŠKOLA TESLA,"ULICA VJEKOSLAVA KLAIĆA 7, ZAGREB-CENTAR, ZAPAD",2210,1100,72,274,232,"27 PETAR ZRINSKI, ZAGREBCENTAR ZAPAD28 PETAR ZRINSKI, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
412,"ZAGREB-CENTAR, ZAPAD",26,PETAR ZRINSKI,PROSTORIJE MJESNOG ODBORA,"PRIMORSKA ULICA 32, ZAGREB-CENTAR, ZAPAD",1255,697,28,151,212,"26 PETAR ZRINSKI, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
413,UMAG - UMAGO,3,PETROVIJAPETROVIA,PODRUČNA ŠKOLA PETROVIJA,"UMAŠKA ULICA 14, UMAG - UMAGO",682,269,11,50,134,"3 PETROVIJAPETROVIA, UMAG  UMAGO",Nema u 2016/2015
414,PETROVSKO,1,PETROVSKO I ROVNO,OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA UČIONICA BR 1,"PETROVSKO 58, PETROVSKO",268,142,4,66,39,"1 PETROVSKO I ROVNO, PETROVSKO",Nema u 2016/2015
415,PITOMAČA,16,PITOMAČA,OSNOVNA ŠKOLA PETRA PRERADOVIĆA,"TRG KRALJA TOMISLAVA 9, PITOMAČA",479,212,14,101,49,"16 PITOMAČA, PITOMAČA",Preostale BM koje kada bi se zbrojile su prevelike
416,PITOMAČA,18,PITOMAČA,PRIVATNA KUĆA MARIJE DENT,"PITOMAČA, LJUDEVITA GAJA 77, PITOMAČA",505,263,12,100,90,"18 PITOMAČA, PITOMAČA",Preostale BM koje kada bi se zbrojile su prevelike
417,PITOMAČA,14,PITOMAČA,PRIVATNA KUĆA VLADE SILADIĆA,"PITOMAČA, BRAĆE RADIĆA 70, PITOMAČA",546,87,4,43,18,"14 PITOMAČA, PITOMAČA",Preostale BM koje kada bi se zbrojile su prevelike
418,PITOMAČA,20,PITOMAČA,PRIVATNA KUĆA ĐURE FONJAKA,"DRAVSKA 247 F, PITOMAČA",355,128,4,38,38,"20 PITOMAČA, PITOMAČA",Preostale BM koje kada bi se zbrojile su prevelike
419,PITOMAČA,11,PITOMAČA,VATROGASNI DOM,"VINOGRADSKA 32, PITOMAČA",466,238,12,76,80,"11 PITOMAČA, PITOMAČA",Preostale BM koje kada bi se zbrojile su prevelike
420,PITOMAČA,13,PITOMAČA,ZGRADA UDRUŽENJA OBRTNIKA OPĆINE PITOMAČA,"PETRA PRERADOVIĆA 5, PITOMAČA",387,194,20,78,62,"13 PITOMAČA, PITOMAČA",Preostale BM koje kada bi se zbrojile su prevelike
421,MEDULIN,6,PJEŠČANA UVALA  BIRAČKO MJESTO BR 6,DRUŠTVENI DOM PJEŠČANA UVALA,"PJEŠČANA UVALA, II OGRANAK BB, MEDULIN",545,302,11,53,149,"6 PJEŠČANA UVALA  BIRAČKO MJESTO BR 6, MEDULIN",Nema u 2016/2015
422,SAMOBOR,56,PODLOŽNICE  SAMOBOR,PROSTORIJE DJEČJEG VRTIĆA GRIGOR VITEZ,"SAMOBOR, IVICE SUDNIKA 11, SAMOBOR",1128,635,33,135,191,"56 PODLOŽNICE  SAMOBOR, SAMOBOR",Preostale BM koje kada bi se zbrojile su prevelike
423,SAMOBOR,57,PODLOŽNICE  SAMOBOR,PROSTORIJE TRGOVAČKOG DRUŠTVA ENERGOINSPEKT DOO,"ULICA IVICE SUDNIKA 3, SAMOBOR",938,493,32,143,146,"57 PODLOŽNICE  SAMOBOR, SAMOBOR",Preostale BM koje kada bi se zbrojile su prevelike
424,PODSTRANA,8,PODSTRANAGRLJEVAC,ZGRADA OPĆINE,"TRG FRANJE TUĐMANA 3, PODSTRANA",723,322,45,169,18,"8 PODSTRANAGRLJEVAC, PODSTRANA",Nema u 2016/2015
425,PODSTRANA,9,PODSTRANAGRLJEVAC,ZGRADA OPĆINE,"TRG FRANJE TUĐMANA 3, PODSTRANA",762,329,68,161,22,"9 PODSTRANAGRLJEVAC, PODSTRANA",Nema u 2016/2015
426,MEDULIN,5,POMER  BIRAČKO MJESTO BR 5,ZGRADA ALBANEŽ DOO,"POMER 1, MEDULIN",401,177,4,26,95,"5 POMER  BIRAČKO MJESTO BR 5, MEDULIN",Nema u 2016/2015
427,"ZAGREB-CENTAR, ZAPAD",287,PONGRAČEVO,DJEČJI VRTIĆ BAJKA,"OPATIJSKI TRG 9, ZAGREB-CENTAR, ZAPAD",2408,1228,147,295,224,"143 PONGRAČEVO, ZAGREBCENTAR ZAPAD144 PONGRAČEVO, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
428,"ZAGREB-CENTAR, ZAPAD",291,PONGRAČEVO,PROSTORIJE MJESNOG ODBORA,"OPATIJSKI TRG 10, ZAGREB-CENTAR, ZAPAD",3135,1540,147,409,288,"145 PONGRAČEVO, ZAGREBCENTAR ZAPAD146 PONGRAČEVO, ZAGREBCENTAR ZAPAD",Preostale BM koje kada bi se zbrojile su prevelike
429,STON,4,PONIKVE,ZGRADA OSNOVNE ŠKOLE,"SPARAGOVIĆI BB, STON",328,171,17,85,25,"4 PONIKVE, STON",Nema u 2016/2015
430,POREČ - PARENZO,13,POREČ  PARENZO,MALA SALA PUČKOG OTVORENOG UČILIŠTA,"ALDA NEGRIJA 5, POREČ, POREČ - PARENZO",1033,406,16,80,175,"13 POREČ  PARENZO, POREČ  PARENZO",Preostale BM koje kada bi se zbrojile su prevelike
431,POREČ - PARENZO,10,POREČ  PARENZO,OSNOVNA ŠKOLA FINIDA,"ROVINJSKA  12, POREČ, POREČ - PARENZO",1135,447,22,96,214,"10 POREČ  PARENZO, POREČ  PARENZO",Preostale BM koje kada bi se zbrojile su prevelike
432,POREČ - PARENZO,11,POREČ  PARENZO,SPORTSKA DVORANA PALESTRA,"NIKOLE TESLE 16, POREČ, POREČ - PARENZO",918,444,13,56,242,"11 POREČ  PARENZO, POREČ  PARENZO",Preostale BM koje kada bi se zbrojile su prevelike
433,POREČ - PARENZO,9,POREČ  PARENZO,VATROGASNI DOM,"POREČ, POREČ - PARENZO",804,400,18,58,204,"9 POREČ  PARENZO, POREČ  PARENZO",Preostale BM koje kada bi se zbrojile su prevelike
434,VELIKO TRGOVIŠĆE,6,POŽARKOVEC,DRUŠTVENI DOM,"POŽARKOVEC, VELIKO TRGOVIŠĆE",135,42,0,13,17,"6 POŽARKOVEC, VELIKO TRGOVIŠĆE",Nema u 2016/2015
435,MEDULIN,7,PREMANTURA  BIRAČKO MJESTO BR 7,DRUŠTVENI DOM,"SELO 120, PREMANTURA, MEDULIN",762,367,7,86,159,"7 PREMANTURA  BIRAČKO MJESTO BR 7, MEDULIN",Nema u 2016/2015
436,ZAGREB-JUŽNI DIO,222,PREČKO,OŠ NIKOLE TESLE,"ULICA IVANA MATETIĆA RONJGOVA 67, ZAGREB-JUŽNI DIO",3240,1635,120,365,438,"73 PREČKO, ZAGREBJUŽNI DIO74 PREČKO, ZAGREBJUŽNI DIO75 PREČKO, ZAGREBJUŽNI DIO",Preostale BM koje kada bi se zbrojile su prevelike
437,ZAGREB-JUŽNI DIO,483,PREČKO,OŠ PREČKO,"DEKANIĆI 6, ZAGREB-JUŽNI DIO",8566,4107,322,1033,1013,"66 PREČKO, ZAGREBJUŽNI DIO67 PREČKO, ZAGREBJUŽNI DIO68 PREČKO, ZAGREBJUŽNI DIO69 PREČKO, ZAGREBJUŽNI DIO70 PREČKO, ZAGREBJUŽNI DIO71 PREČKO, ZAGREBJUŽNI DIO72 PREČKO, ZAGREBJUŽNI DIO",Preostale BM koje kada bi se zbrojile su prevelike
438,POŽEGA,42,PRIVATNA KUĆA DALIBORA BREZICKI,NOVI ŠTITNJAK,"NOVI ŠTITNJAK 22A, POŽEGA",105,44,4,17,13,"42 PRIVATNA KUĆA DALIBORA BREZICKI, POŽEGA",Nema u 2016/2015
439,POŽEGA,46,PRIVATNA KUĆA JADRANKE MAHMUTOVIĆ,ALAGINCI,"ALAGINCI 26, POŽEGA",162,82,9,43,8,"46 PRIVATNA KUĆA JADRANKE MAHMUTOVIĆ, POŽEGA",Nema u 2016/2015
440,POŽEGA,44,PRIVATNA KUĆA LONČAREVIĆ DARKA,ŠTITNJAK,"ŠTITNJAK 7, POŽEGA",43,25,2,14,0,"44 PRIVATNA KUĆA LONČAREVIĆ DARKA, POŽEGA",Nema u 2016/2015
441,POŽEGA,33,PRIVATNA KUĆA MARKA PANDŽIĆA,DONJI EMOVCI,"DONJI EMOVCI 3B, POŽEGA",149,82,5,37,19,"33 PRIVATNA KUĆA MARKA PANDŽIĆA, POŽEGA",Nema u 2016/2015
442,POŽEGA,26,PRIVATNA KUĆA MILORADA ĆOSIĆA,LAZE ĆOSINE,"LAZE ĆOSINE 10, POŽEGA",55,14,0,3,8,"26 PRIVATNA KUĆA MILORADA ĆOSIĆA, POŽEGA",Nema u 2016/2015
443,BRESTOVAC,3,PRIVATNA KUĆA NEMEČEK,ZAVRŠJE,"ZVONKA BRKIĆA 2, BRESTOVAC",272,111,3,38,34,"3 PRIVATNA KUĆA NEMEČEK, BRESTOVAC",Nema u 2016/2015
444,ČAGLIN,21,PRIVATNA KUĆA STJEPANA KRALJAKA,DUBOKA,"DUBOKA 50A, ČAGLIN",40,13,0,0,12,"21 PRIVATNA KUĆA STJEPANA KRALJAKA, ČAGLIN",Nema u 2016/2015
445,POŽEGA,36,PRIVATNA KUĆA ZVONKA ŠPIRANECA,KUNOVCI,"KUNOVCI 1C, POŽEGA",72,30,0,16,2,"36 PRIVATNA KUĆA ZVONKA ŠPIRANECA, POŽEGA",Nema u 2016/2015
446,POŽEGA,40,PRIVATNA KUĆA ŽELJKA BIČANIĆA,MARINDVOR,"MARINDVOR 33, POŽEGA",97,45,2,20,6,"40 PRIVATNA KUĆA ŽELJKA BIČANIĆA, POŽEGA",Nema u 2016/2015
447,PLETERNICA,20,PROSTOR STARE AMBULANTE,BRODSKI DRENOVAC,"BRODSKI DRENOVAC BB, PLETERNICA",593,225,13,172,8,"20 PROSTOR STARE AMBULANTE, PLETERNICA",Nema u 2016/2015
448,PULA - POLA,1,PULAPOLA BIRAČKO MJESTO 1,OŠ TONE PERUŠKO,"POLJANA SVETOG MARTINA 6, PULA-POLA, PULA - POLA",954,402,14,57,193,"1 PULAPOLA BIRAČKO MJESTO 1, PULA  POLA",Nema u 2016/2015
449,PULA - POLA,10,PULAPOLA BIRAČKO MJESTO 10,OŠ VELI VRH,"ZAHTILINA 1, PULA-POLA, PULA - POLA",1009,468,16,60,251,"10 PULAPOLA BIRAČKO MJESTO 10, PULA  POLA",Nema u 2016/2015
450,PULA - POLA,11,PULAPOLA BIRAČKO MJESTO 11,OŠ VELI VRH,"ZAHTILINA 1, PULA-POLA, PULA - POLA",1286,550,23,111,292,"11 PULAPOLA BIRAČKO MJESTO 11, PULA  POLA",Nema u 2016/2015
451,PULA - POLA,12,PULAPOLA BIRAČKO MJESTO 12,PROSTORIJE MJESNOG ODBORA ŠTINJAN,"ULICA SELO 2, PULA-POLA, PULA - POLA",898,442,22,60,223,"12 PULAPOLA BIRAČKO MJESTO 12, PULA  POLA",Nema u 2016/2015
452,PULA - POLA,13,PULAPOLA BIRAČKO MJESTO 13,PROSTORIJE MO MONVIDAL,"VALTURSKA ULICA 2, PULA-POLA, PULA - POLA",835,388,12,91,166,"13 PULAPOLA BIRAČKO MJESTO 13, PULA  POLA",Nema u 2016/2015
453,PULA - POLA,14,PULAPOLA BIRAČKO MJESTO 14,PRIZEMLJE ZGRADE KATASTRA,"FORUM 13, PULA-POLA, PULA - POLA",739,287,13,61,112,"14 PULAPOLA BIRAČKO MJESTO 14, PULA  POLA",Nema u 2016/2015
454,PULA - POLA,15,PULAPOLA BIRAČKO MJESTO 15,OŠ CENTAR,"DANTEOV TRG 2, PULA-POLA, PULA - POLA",681,243,12,35,118,"15 PULAPOLA BIRAČKO MJESTO 15, PULA  POLA",Nema u 2016/2015
455,PULA - POLA,16,PULAPOLA BIRAČKO MJESTO 16,DOM BRAĆE RIBAR,"MARSOVOG POLJA 6, PULA-POLA, PULA - POLA",908,378,22,59,162,"16 PULAPOLA BIRAČKO MJESTO 16, PULA  POLA",Nema u 2016/2015
456,PULA - POLA,17,PULAPOLA BIRAČKO MJESTO 17,EKONOMSKA ŠKOLA,"KOVAČIĆEVA ULICA 3, PULA-POLA, PULA - POLA",807,386,15,62,190,"17 PULAPOLA BIRAČKO MJESTO 17, PULA  POLA",Nema u 2016/2015
457,PULA - POLA,18,PULAPOLA BIRAČKO MJESTO 18,FILOZOFSKI FAKULTET,"MATETIĆA RONJGOVA 1, PULA-POLA, PULA - POLA",689,248,13,34,138,"18 PULAPOLA BIRAČKO MJESTO 18, PULA  POLA",Nema u 2016/2015
