,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,MOŽEMO,DP,HDZ,SDP,BM
2291,IVANKOVO,3,IVANKOVO,PRIVATNA KUCA ANDELKE PEJIC,BOSNJACI 158 IVANKOVO,1310,618,70,,,385,88,3 IVANKOVO IVANKOVO
2292,ANTUNOVAC,3,IVANOVAC,HRVATSKI DOM,DUGA 33 ANTUNOVAC,667,377,16,,,235,68,3 IVANOVAC ANTUNOVAC
2293,ANTUNOVAC,4,IVANOVAC,HRVATSKI DOM,DUGA 33 ANTUNOVAC,543,250,18,,,125,56,4 IVANOVAC ANTUNOVAC
2294,VALPOVO,13,IVANOVCI,DRUSTVENI DOM MERGED HETERO,PETRA PRERADOVICA 60 VALPOVO,366,199,15,,,73,33,IVANOVCIVALPOVO MERGED HETERO
2295,DAKOVO,30,IVANOVCI DAKOVACKI,DOM DVDA,IVANOVCI DAKOVACKI DAKOVO,476,250,19,,,75,41,29 IVANOVCI DAKOVACKI DAKOVO
2296,CAKOVEC,20,IVANOVEC,ZGRADA VATROGASNOG DOMA GORNJI VIDOVEC IVANOVEC,ULICA GORNJI VIDOVEC 10 CAKOVEC,740,349,18,,,45,254,20 IVANOVEC CAKOVEC
2297,CAKOVEC,19,IVANOVEC,ZGRADA ZADRUZNOG DOMA MERGED HETERO,ZAGREBACKA 30 CAKOVEC,1056,461,21,,,62,328,IVANOVECCAKOVEC MERGED HETERO
2298,VILJEVO,4,IVANOVO,OSNOVNA SKOLA,NIKOLE TESLE 1B VILJEVO,239,110,5,,,53,23,4 IVANOVO VILJEVO
2299,DEZANOVAC,3,IVANOVO POLJE,VATROGASNI DOM,IVANOVO POLJE 53 DEZANOVAC,162,81,4,,,37,23,3 IVANOVO POLJE DEZANOVAC
2300,GRUBISNO POLJE,6,IVANOVO SELO,MJESNI DOM U IVANOVOM SELU,PRASKA 5 GRUBISNO POLJE,126,101,25,,,47,22,6 IVANOVO SELO GRUBISNO POLJE
2301,IVANSKA,1,IVANSKA,DRUSTVENI DOM IVANSKA,IVANSKA SLAVKA KOLARA 1 IVANSKA,585,269,23,,,85,98,1 IVANSKA IVANSKA
2302,JASTREBARSKO,39,IZIMJE,DOM DVD,IZIMJE JASTREBARSKO,212,108,7,,,63,22,39 IZIMJE JASTREBARSKO
2303,ZAPRESIC,6,JABLANOVEC,DRUSTVENI DOM JABLANOVEC,JABLANOVEC STUBICKA 305 ZAPRESIC,1238,653,106,,,244,189,6 JABLANOVEC ZAPRESIC
2304,KAPELA,13,JABUCETA,VATROGASNI DOM,JABUCETA 40A KAPELA,52,18,1,,,7,6,12 JABUCETA KAPELA
2305,PETRINJA,30,JABUKOVAC,OSNOVNA SKOLA,JABUKOVAC PETRINJA,304,130,4,,,50,25,30 JABUKOVAC PETRINJA
2306,PETRINJA,31,JABUKOVAC,OSNOVNA SKOLA,JABUKOVAC PETRINJA,401,197,3,,,10,70,31 JABUKOVAC PETRINJA
2307,CRIKVENICA,8,JADRANOVO,ZGRADA OSNOVNE SKOLE MERGED HETERO,JADRANOVOVLADIMIRA NAZORA 5 CRIKVENICA,1353,566,47,,,211,206,JADRANOVOCRIKVENICA MERGED HETERO
2308,LIZNJAN LISIGNANO,5,JADRESKI,ZGRADA OSNOVNE SKOLE U JADRESKIMA MERGED HETERO,JADRESKI 5 LIZNJAN LISIGNANO,441,232,3,,,44,51,JADRESKILIZNJAN LISIGNANO MERGED HETERO
2309,KOPRIVNICA,6,JAGNJEDOVEC,PROSTORIJE MJESNOG ODBORA JAGNJEDOVEC,JAGNJEDOVEC KOPRIVNICA,280,164,3,,,77,67,6 JAGNJEDOVEC KOPRIVNICA
2310,SVETA NEDELJA,8,JAGNJIC DOL,DRUSTVENI DOM JAGNJIC DOL,JAGNJIC DOL IVANSKA BB SVETA NEDELJA,421,220,25,,,83,59,9 JAGNJIC DOL SVETA NEDELJA
2311,JAGODNJAK,1,JAGODNJAK,DOM KULTURE PRIZEMLJE BIVSI SAJRIC,BORISA KIDRICA 100 JAGODNJAK,173,80,5,,,13,54,1 JAGODNJAK JAGODNJAK
2312,JAGODNJAK,2,JAGODNJAK,DOM KULTURE VELIKA SALA MERGED HETERO,BORISA KIDRICA 100 JAGODNJAK,179,72,1,,,25,35,JAGODNJAKJAGODNJAK MERGED HETERO
2313,VELIKA GORICA,34,JAGODNO,DRUSTVENI DOM,JAGODNO BB VELIKA GORICA,472,220,21,,,87,62,38 JAGODNO VELIKA GORICA
2314,SIBINJ,8,JAKACINA,DRUSTVENI DOM JAKACINA,JAKACINA MALA 37 SIBINJ,119,41,4,,,15,4,8 JAKACINA SIBINJ
2315,ZRINSKI TOPOLOVAC,2,JAKOPOVAC,VATROGASNI DOM,JAKOPOVAC 28 ZRINSKI TOPOLOVAC,98,60,0,,,46,9,2 JAKOPOVAC ZRINSKI TOPOLOVAC
2316,JALZABET,7,JAKOPOVEC,DRUSTVENI DOM JAKOPOVEC,JAKOPOVEC JALZABET,375,140,1,,,29,58,7 JAKOPOVEC JALZABET
2317,JAKOVLJE,2,JAKOVLJE,ZGRADA OPCINE JAKOVLJEPRIZEMLJE,JAKOVLJE ADELE SIXTA 2 JAKOVLJE,812,418,29,,,127,173,2 JAKOVLJE JAKOVLJE
2318,JAKOVLJE,3,JAKOVLJE,PRIVATNA KUCA ZVONIMIRA STARMANA,JAKOVLJE TOPLICKA CESTA 161 JAKOVLJE,436,148,16,,,47,50,3 JAKOVLJE JAKOVLJE
2319,JAKOVLJE,4,JAKOVLJE,PRIVATNA KUCA RUDOLFA SENICICA,JAKOVLJE SVETE DOROTEJE 134 A JAKOVLJE,339,157,12,,,41,66,4 JAKOVLJE JAKOVLJE
2320,JAKOVLJE,5,JAKOVLJE,PRIVATNA KUCA ZVONIMIRA SENICICA,JAKOVLJE ZAGREBACKA CESTA 150 A JAKOVLJE,510,204,7,,,56,90,5 JAKOVLJE JAKOVLJE
2321,GORNJA STUBICA,11,JAKSINEC,KUCA IVANIC JOSIPA MERGED HETERO,JAKSINEC 3D GORNJA STUBICA,223,78,3,,,18,40,JAKSINECGORNJA STUBICA MERGED HETERO
2322,ZAGREBJUZNI DIO,9,JAKUSEVEC,PROSTORIJE MJESNOG ODBORA,GATA 1 ZAGREBJUZNI DIO,2148,1134,106,,,285,411,4 JAKUSEVEC ZAGREBJUZNI DIO5 JAKUSEVEC ZAGREBJUZNI DIO6 JAKUSEVEC ZAGREBJUZNI DIO
2323,ZABOK,11,JAKUSEVEC ZABOCKI,KUCICA KONTEJNER NA DJECJEM IGRALISTU MERGED HETERO,JAKUSEVEC ZABOCKI BB ZABOK,345,177,12,,,43,94,JAKUSEVEC ZABOCKIZABOK MERGED HETERO
2324,VARAZDIN,43,JALKOVEC,PROSTORIJE DRUSTVENOG DOMA,BRACE RADICA 99 VARAZDIN,1104,491,35,,,82,246,44 JALKOVEC VARAZDIN
2325,RUGVICA,3,JALSEVEC NARTSKI,DOM U JALSEVCU NARTSKOM,JALSEVEC NARTSKI RUGVICA,1808,834,77,,,405,179,3 JALSEVEC NARTSKI RUGVICA
2326,VARAZDINSKE TOPLICE,9,JALSEVEC SVIBOVECKI,VATROGASNI DOM,JALSEVEC SVIBOVECKI VARAZDINSKE TOPLICE,252,162,4,,,47,78,9 JALSEVEC SVIBOVECKI VARAZDINSKE TOPLICE
2327,VELIKO TRGOVISCE,3,JALSJE II,DRUSTVENI DOM,JALSJE VELIKO TRGOVISCE,281,161,14,,,40,74,3 JALSJE II VELIKO TRGOVISCE
2328,JALZABET,1,JALZABET,DOM KULTURE JALZABET,TRG BRACE RADIC 7 JALZABET,587,366,8,,,226,92,1 JALZABET JALZABET
2329,KUTINA,21,JAMARICE,DOM JAMARICE,JAMARICA KUTINA,347,180,8,,,93,46,21 JAMARICE KUTINA
2330,BEDNJA,11,JAMNO,ETNO KUCA JAMNO,JAMNO BB BEDNJA,125,62,1,,,18,15,11 JAMNO BEDNJA
2331,KUTINA,20,JANJA LIPA,DOM JANJA LIPA,JANJA LIPA KUTINA,181,101,0,,,82,4,20 JANJA LIPA KUTINA
2332,JANJINA,1,JANJINA,ATRIJ DOMA KULTURE U JANJINI MERGED HETERO,JANJINA 68 JANJINA,342,218,35,,,94,73,JANJINAJANJINA MERGED HETERO
2333,BREZNICA,3,JAREK JALES,DRUSTVENI DOM JAREK,JAREK BISASKI BREZNICA,293,164,15,,,27,82,3 JAREK JALES BREZNICA
2334,CESTICA,10,JARKI,PROSTORIJE MJESNOG ODBORA JARKI,JARKI CESTICA,272,122,8,,,21,65,10 JARKI CESTICA
2335,VARAZDINSKE TOPLICE,8,JARKI HORVATICEVI,KUCA MIROSLAVA GLUHAKA MERGED HETERO,JARKI HORVATICEVI 19 B VARAZDINSKE TOPLICE,46,15,0,,,11,4,JARKI HORVATICEVIVARAZDINSKE TOPLICE MERGED HETERO
2336,JARMINA,1,JARMINA,DOM TALIJANSKOG PRIJATELJSTVA,VNAZORA 2 JARMINA,630,319,24,,,201,54,1 JARMINA JARMINA
2337,JARMINA,2,JARMINA,OSNOVNA SKOLA JARMINA,JJSTROSSMAYERA 3 JARMINA,1363,681,62,,,446,99,2 JARMINA JARMINA
2338,SIKIREVCI,5,JARUGE,AMBULANTA OPCE MEDICINE U JARUGAMA MERGED HETERO,JARUGE SIKIREVCI,562,251,21,,,156,21,JARUGESIKIREVCI MERGED HETERO
2339,ZAGREBJUZNI DIO,53,JARUN,PROSTORIJE MJESNOG ODBORA,HRGOVICI 57A ZAGREBJUZNI DIO,1111,630,64,,,158,283,58 JARUN ZAGREBJUZNI DIO
2340,ZAGREBJUZNI DIO,54,JARUN,PROSTORIJE MJESNOG ODBORA,HRGOVICI 57A ZAGREBJUZNI DIO,1164,690,68,,,189,300,59 JARUN ZAGREBJUZNI DIO
2341,ZAGREBJUZNI DIO,55,JARUN,OS BARTOLA KASICA,VRISNICKA ULICA 4 ZAGREBJUZNI DIO,1294,810,82,,,291,292,60 JARUN ZAGREBJUZNI DIO
2342,ZAGREBJUZNI DIO,56,JARUN,OS BARTOLA KASICA,VRISNICKA ULICA 4 ZAGREBJUZNI DIO,1243,796,125,,,240,285,61 JARUN ZAGREBJUZNI DIO
2343,ZAGREBJUZNI DIO,57,JARUN,OS BARTOLA KASICA,VRISNICKA ULICA 4 ZAGREBJUZNI DIO,1295,736,99,,,246,226,62 JARUN ZAGREBJUZNI DIO
2344,ZAGREBJUZNI DIO,58,JARUN,OS BARTOLA KASICA,VRISNICKA ULICA 4 ZAGREBJUZNI DIO,1264,714,84,,,231,294,63 JARUN ZAGREBJUZNI DIO
2345,ZAGREBJUZNI DIO,59,JARUN,OS BARTOLA KASICA,VRISNICKA ULICA 4 ZAGREBJUZNI DIO,1329,754,86,,,249,267,64 JARUN ZAGREBJUZNI DIO
2346,ZAGREBJUZNI DIO,60,JARUN,OS BARTOLA KASICA,VRISNICKA ULICA 4 ZAGREBJUZNI DIO,1388,821,112,,,302,273,65 JARUN ZAGREBJUZNI DIO
2347,SAMOBOR,23,JARUSJE,VATROGASNI DOM JARUSJE,JARUSJE SAMOBOR,67,35,0,,,2,32,23 JARUSJE SAMOBOR
2348,VIROVITICA,3,JASENAS,DOM MJESNOG ODBORA JASENAS,ULICA JASENAS 66 VIROVITICA,71,45,3,,,14,19,3 JASENAS VIROVITICA
2349,JASENICE,1,JASENICE,OSNOVNA SKOLA PETAR ZORANIC MERGED HETERO,MASLENICA JASENICE,984,534,48,,,396,45,JASENICEJASENICE MERGED HETERO
2350,SANDROVAC,5,JASENIK,DRUSTVENI DOM,JASENIK 7 SANDROVAC,45,23,0,,,11,12,5 JASENIK SANDROVAC
2351,JASENOVAC,1,JASENOVAC,PRIZEMNE PROSTORIJE OPCINE JASENOVAC PROSTORIJE UDRUGE UMIROVLJENIKA,TRG KRALJA PETRA SVACICA 19 JASENOVAC,560,295,23,,,161,68,1 JASENOVAC JASENOVAC
2352,JASTREBARSKO,42,JASTREBARSKO I,ZGRADA HAKA,TRESNJEVKA 4 JASTREBARSKO JASTREBARSKO,452,262,15,,,68,119,42 JASTREBARSKO I JASTREBARSKO
2353,JASTREBARSKO,43,JASTREBARSKO II,SREDNJA SKOLA JASTREBARSKO MERGED HETERO,VHOLJEVCA 11 JASTREBARSKO JASTREBARSKO,728,409,24,,,135,177,JASTREBARSKO IIJASTREBARSKO MERGED HETERO
2354,JASTREBARSKO,44,JASTREBARSKO III,ZGRADA HRVATSKOG SUMARSKOG INSTITUTA,CVJETNO NASELJE 41 JASTREBARSKO JASTREBARSKO,458,276,29,,,58,141,44 JASTREBARSKO III JASTREBARSKO
2355,JASTREBARSKO,45,JASTREBARSKO IV,DJECJI VRTIC RADOST II,BANA TOME ERDEDIJA BAKACA 2 JASTREBARSKO JASTREBARSKO,419,249,12,,,74,117,45 JASTREBARSKO IV JASTREBARSKO
2356,JASTREBARSKO,50,JASTREBARSKO IX,ZGRADA ZUPANIJSKIH ISPOSTAVA BIVSA OPCINA,VLADKA MACEKA 2 JASTREBARSKO JASTREBARSKO,637,386,20,,,131,173,50 JASTREBARSKO IX JASTREBARSKO
2357,JASTREBARSKO,46,JASTREBARSKO V,CENTAR ZA KULTURU JASTREBARSKO,DR FRANJE TUDMANA 9 JASTREBARSKO JASTREBARSKO,145,93,9,,,19,49,46 JASTREBARSKO V JASTREBARSKO
2358,JASTREBARSKO,47,JASTREBARSKO VI,ZGRADA GLAZBENE SKOLE JASTREBARSKO,ZRINSKIFRANKOPANSKA 13 JASTREBARSKO JASTREBARSKO,293,169,10,,,40,93,47 JASTREBARSKO VI JASTREBARSKO
2359,JASTREBARSKO,48,JASTREBARSKO VII,ZGRADA OPCINSKOG SUDA JASTREBARSKO,BRACE KAZIC 6 JASTREBARSKO JASTREBARSKO,507,328,21,,,111,151,48 JASTREBARSKO VII JASTREBARSKO
2360,JASTREBARSKO,49,JASTREBARSKO VIII,ZGRADA GRADSKE UPRAVE,TRG JJSTROSSMAYERA 13 JASTREBARSKO JASTREBARSKO,574,326,16,,,121,143,49 JASTREBARSKO VIII JASTREBARSKO
2361,JASTREBARSKO,51,JASTREBARSKO X,ZGRADA GRADSKOG MUZEJA,VLADKA MACEKA 1 JASTREBARSKO JASTREBARSKO,590,310,25,,,115,116,51 JASTREBARSKO X JASTREBARSKO
2362,BRDOVEC,3,JAVORJE,DRUSTVENI DOM JAVORJE,JAVORJE SAVSKA 5A BRDOVEC,620,348,39,,,100,150,3 JAVORJE BRDOVEC
2363,NOVSKA,17,JAZAVICA,OSNOVNA SKOLA MERGED HETERO,JAZAVICA NOVSKA,295,150,26,,,82,14,JAZAVICANOVSKA MERGED HETERO
2364,ZADAR,24,JAZINE I,MJESNI ODBOR JAZINE I,KRALJA S DRZISLAVA 10 ZADAR,926,514,59,,,146,228,24 JAZINE I ZADAR25 JAZINE I ZADAR
2365,ZADAR,26,JAZINE I,SREDNJOSKOLSKI DACKI DOM U ZADRU,OBALA KNEZA BRANIMIRA BB ZADAR,732,382,53,,,111,182,26 JAZINE I ZADAR
2366,ZADAR,27,JAZINE II,MJESNI ODBOR JAZINE II,MOLATSKA BB ZADAR,1080,527,59,,,184,198,27 JAZINE II ZADAR
2367,ZADAR,28,JAZINE II,MJESNI ODBOR JAZINE II,MOLATSKA BB ZADAR,967,459,49,,,154,160,28 JAZINE II ZADAR
2368,ZADAR,29,JAZINE II,MJESNI ODBOR JAZINE II,MOLATSKA BB ZADAR,838,426,40,,,123,204,29 JAZINE II ZADAR
2369,SISAK,53,JAZVENIK,DRUSTVENI DOM CESKA BESEDA,JAZVENIK SISAK,104,71,5,,,43,10,52 JAZVENIK SISAK
2370,RADOBOJ,5,JAZVINE,PODRUCNA SKOLA JAZVINE MERGED HETERO,JAZVINE 12 RADOBOJ,310,201,8,,,61,112,JAZVINERADOBOJ MERGED HETERO
2371,KOPRIVNICKI BREGI,4,JEDUSEVAC,DRUSTVENI DOM JEDUSEVAC,JEDUSEVAC KOPRIVNICKI BREGI,70,42,1,,,19,13,4 JEDUSEVAC KOPRIVNICKI BREGI
2372,DESINIC,3,JELENJAK,KUCA KOMERICKI VLADIMIRA MERGED HETERO,JELENJAK 2 DESINIC,193,91,1,,,32,48,JELENJAKDESINIC MERGED HETERO
2373,JELENJE,3,JELENJE,PROSTORIJA LOVACKOG DRUSTVA JELEN MERGED HETERO,JELENJE JELENJE BB JELENJE,377,195,24,,,49,67,JELENJEJELENJE MERGED HETERO
2374,ZAGREBCENTAR ZAPAD,395,JELENOVAC,PODRUCNI URED CRNOMEREC,TRG FRANCUSKE REPUBLIKE 15 ZAGREBCENTAR ZAPAD,1589,950,108,,,330,331,189 JELENOVAC ZAGREBCENTAR ZAPAD190 JELENOVAC ZAGREBCENTAR ZAPAD
2375,NOVI MAROF,24,JELENSCAK,KUCA VL NEVENKE KUZMIC,JELENSCAK 7 NOVI MAROF,177,83,3,,,37,32,24 JELENSCAK NOVI MAROF
2376,NASICE,14,JELISAVAC,OSNOVNA SKOLA IVANA BRNJIKA SLOVAKA,JELISAVAC NASICE,521,296,27,,,95,67,14 JELISAVAC NASICE
2377,NASICE,15,JELISAVAC,KULTURNI CENTAR SLOVAKA,JELISAVAC NASICE,190,115,13,,,42,24,15 JELISAVAC NASICE
2378,ZAGREBISTOCNI DIO,89,JELKOVEC,PROSTORIJE MJESNOG ODBORA,FILIPOVICEVA ULICA 2 ZAGREBISTOCNI DIO,1044,521,31,,,173,162,86 JELKOVEC ZAGREBISTOCNI DIO
2379,JELSA,1,JELSA,OPCINSKI DOM U JELSI,JELSA 404 JELSA,831,530,69,,,259,141,1 JELSA JELSA
2380,JELSA,2,JELSA,OPCINSKI DOM U JELSI,JELSA TRG TOME GAMULINA 1 JELSA,782,476,48,,,207,176,2 JELSA JELSA
2381,KONJSCINA,3,JERTOVEC,OSNOVNA SKOLA KONJSCINA PODRUCNA SKOLA JERTOVEC,JERTOVEC KONJSCINA,599,300,16,,,132,134,3 JERTOVEC KONJSCINA
2382,ZAGREBISTOCNI DIO,90,JESENOVEC,PROSTORIJE MJESNOG ODBORA,JESENOVECKA CESTA 31 ZAGREBISTOCNI DIO,345,175,10,,,50,39,87 JESENOVEC ZAGREBISTOCNI DIO
2383,ZAGREBJUZNI DIO,35,JEZDOVEC,OS JEZDOVEC MERGED HETERO,JEZDOVECKA ULICA 34 ZAGREBJUZNI DIO,1601,710,64,,,228,195,JEZDOVECZAGREBJUZNI DIO MERGED HETERO
2384,DURMANEC,8,JEZERISCE,KUCA MIJE VARJACIC MERGED HETERO,JEZERISCE 28 DURMANEC,97,58,2,,,33,17,JEZERISCEDURMANEC MERGED HETERO
2385,MARTINSKA VES,13,JEZERO POSAVSKO,DRUSTVENI DOM,JEZERO POSAVSKO MARTINSKA VES,61,36,1,,,6,19,12 JEZERO POSAVSKO MARTINSKA VES
2386,BUKOVLJE,5,JEZEVIK,DRUSTVENI DOM JEZEVIK,JEZEVIK 24 BUKOVLJE,41,31,4,,,14,10,5 JEZEVIK BUKOVLJE
2387,RUGVICA,7,JEZEVO,DOM U JEZEVU,JEZEVO RUGVICA,379,202,10,,,52,103,7 JEZEVO RUGVICA
2388,BEDNJA,13,JEZOVEC GORNJI,DRUSTVENI DOM,JEZOVEC BB BEDNJA,159,62,0,,,41,16,13 JEZOVEC GORNJI BEDNJA
2389,KRIZ,8,JOHOVEC,DRUSTVENI DOM,JOHOVEC BB KRIZ,113,51,0,,,11,25,8 JOHOVEC KRIZ
2390,OSIJEK,90,JOSIPOVAC,OSNOVNA SKOLA JOSIPOVAC,OSJECKA 77A OSIJEK,828,401,60,,,191,70,90 JOSIPOVAC OSIJEK
2391,OSIJEK,91,JOSIPOVAC,OSNOVNA SKOLA JOSIPOVAC,OSJECKA 77A OSIJEK,1037,564,59,,,235,131,91 JOSIPOVAC OSIJEK
2392,OSIJEK,92,JOSIPOVAC,HRVATSKI DOM JOSIPOVAC,OSJECKA 66 OSIJEK,706,401,34,,,188,99,92 JOSIPOVAC OSIJEK
2393,OSIJEK,93,JOSIPOVAC,HRVATSKI DOM JOSIPOVAC,OSJECKA 66 OSIJEK,906,487,60,,,205,106,93 JOSIPOVAC OSIJEK
2394,PUNITOVCI,2,JOSIPOVAC PUNITOVACKI,DOM KULTURE,STROSMAJEROVA 5 PUNITOVCI,416,266,6,,,89,90,2 JOSIPOVAC PUNITOVACKI PUNITOVCI
2395,SOPJE,5,JOSIPOVO,PROSTORIJE VATROGASNOG DOMA MERGED HETERO,JOSIPOVO 57 SOPJE,221,108,6,,,29,31,JOSIPOVOSOPJE MERGED HETERO
2396,RAZANAC,3,JOVICI,OS JURAJ BARAKOVIC,JOVICI RAZANAC,348,176,25,,,106,27,3 JOVICI RAZANAC
2397,SUHOPOLJE,5,JUGOVO POLJE,DRUSTVENI DOM MJESNOG ODBORA,TRG SVPETRA I PAVLA 18 SUHOPOLJE,231,141,7,,,61,44,5 JUGOVO POLJE SUHOPOLJE
2398,BASKA,3,JURANDVOR,PROSTORIJA NARODNOG DOMA JURANDVOR,JURANDVOR JURANDVOR BB BASKA,424,186,19,,,39,72,3 JURANDVOR BASKA
2399,MATULJI,8,JURDANI,MJESNI URED JURDANI,JURDANI 64 MATULJI,540,270,20,,,38,122,8 JURDANI MATULJI
2400,PUNITOVCI,3,JURJEVAC PUNITOVACKI,DRUSTVENI DOM,GLAVNA BB PUNITOVCI,217,94,12,,,36,13,3 JURJEVAC PUNITOVACKI PUNITOVCI
2401,JASTREBARSKO,14,JURJEVCANI,DRUSTVENI DOM,JURJEVCANI JASTREBARSKO,74,41,3,,,29,6,14 JURJEVCANI JASTREBARSKO
2402,KRAPINSKE TOPLICE,4,JURJEVEC,DRUSTVENI DOM,JURJEVEC KRAPINSKE TOPLICE,278,142,16,,,33,70,4 JURJEVEC KRAPINSKE TOPLICE
2403,MARUSEVEC,8,JURKETINEC,DRUSTVENI DOM,JURKETINEC MARUSEVEC,349,200,4,,,64,97,8 JURKETINEC MARUSEVEC
2404,SVETVINCENAT,8,JURSICI,DRUSTVENI DOM,JURSICI 1 SVETVINCENAT,484,204,8,,,28,37,8 JURSICI SVETVINCENAT
2405,MATULJI,6,JUSICI,DRUSTVENI DOM,JUSICI 42 MATULJI,745,399,23,,,53,207,6 JUSICI MATULJI
2406,SAMOBOR,53,JUZNO NASELJE SAMOBOR,OSNOVNA SKOLA BOGUMIL TONI,SAMOBOR PERKOVCEVA 90 SAMOBOR,1001,591,40,,,119,320,52 JUZNO NASELJE SAMOBOR SAMOBOR
2407,SAMOBOR,54,JUZNO NASELJE SAMOBOR,OSNOVNA SKOLA BOGUMIL TONI,ULICA IVANA PERKOVCA 90 SAMOBOR,1092,638,56,,,129,344,53 JUZNO NASELJE SAMOBOR SAMOBOR
2408,FARKASEVAC,2,KABAL,DRUSTVENI DOM KABAL,KABAL FARKASEVAC,126,78,7,,,35,34,2 KABAL FARKASEVAC
2409,GARESNICA,26,KAJGANA,VATROGASNI DOM,KAJGANA 39 GARESNICA,212,99,14,,,28,41,24 KAJGANA GARESNICA
2410,ZAGREBJUZNI DIO,19,KAJZERICA,OS KAJZERICA,ULICA ZARKA DOLINARA 9 ZAGREBJUZNI DIO,1131,630,97,,,196,208,20 KAJZERICA ZAGREBJUZNI DIO
2411,ZAGREBJUZNI DIO,20,KAJZERICA,OS KAJZERICA,ULICA ZARKA DOLINARA 9 ZAGREBJUZNI DIO,1270,743,143,,,199,226,21 KAJZERICA ZAGREBJUZNI DIO
2412,ZAGREBJUZNI DIO,21,KAJZERICA,OS KAJZERICA,ULICA ZARKA DOLINARA 9 ZAGREBJUZNI DIO,1256,685,87,,,199,234,22 KAJZERICA ZAGREBJUZNI DIO
2413,ROVISCE,6,KAKINAC,VATROGASNI DOM,KAKINAC 32 ROVISCE,52,15,1,,,7,5,6 KAKINAC ROVISCE
2414,POLACA,2,KAKMA,OSNOVNA SKOLA,KAKMA POLACA,219,57,10,,,33,11,2 KAKMA POLACA
2415,MOTOVUN MONTONA,2,KALDIR,ZGRADA STARE SKOLE,KALDIR BB MOTOVUN MONTONA,196,90,8,,,9,20,2 KALDIR MOTOVUN MONTONA
2416,KALI,1,KALI,OPCINSKI DOM KALI PRIZEMLJE KINO SALA,TRG MARNJIVE 23 KALI KALI,1734,785,94,,,270,317,1 KALI KALI
2417,SVETI IVAN ZELINA,31,KALINJE,DRUSTVENI DOM,KALINJE BB SVETI IVAN ZELINA,211,115,4,,,25,67,31 KALINJE SVETI IVAN ZELINA
2418,KALINOVAC,1,KALINOVAC,OSNOVNA SKOLA IVAN LACKOVIC CROATA KALINOVAC,DRAVSKA ULICA 6 KALINOVAC,590,319,18,,,153,64,1 KALINOVAC KALINOVAC
2419,KALINOVAC,2,KALINOVAC,OSNOVNA SKOLA IVAN LACKOVIC CROATA KALINOVAC,DRAVSKA ULICA 6 KALINOVAC,558,281,12,,,141,66,2 KALINOVAC KALINOVAC
2420,KALNIK,1,KALNIK,DOM HRVATSKIH BRANITELJA,TRG STJEPANA RADICA 5 KALNIK,281,145,1,,,41,83,1 KALNIK KALNIK
2421,SPLIT,158,KAMEN,MJESNI ODBOR KAMEN,SVMIHOVILA 5 SPLIT,1489,752,120,,,430,113,156 KAMEN SPLIT
2422,NOVI MAROF,25,KAMENA GORICA,DRUSTVENI DOM KAMENA GORICA,KAMENA GORICA 40 B NOVI MAROF,190,108,2,,,44,44,25 KAMENA GORICA NOVI MAROF
2423,KNEZEVI VINOGRADI,7,KAMENAC,DOM KULTURE,GLAVNA 49 KNEZEVI VINOGRADI,91,49,3,,,23,4,7 KAMENAC KNEZEVI VINOGRADI
2424,LEPOGLAVA,8,KAMENICA,OSNOVNA SKOLA IVAN RANGER,KAMENICA LEPOGLAVA,124,71,1,,,27,34,8 KAMENICA LEPOGLAVA
2425,PRESEKA,3,KAMENICA,OBITELJSKA KUCA SKOCAJ VLADE MERGED HETERO,KAMENICA 37 PRESEKA,57,31,2,,,11,11,KAMENICAPRESEKA MERGED HETERO
2426,LEPOGLAVA,7,KAMENICKI VRHOVEC,BIVSI UGOST OBJEKT ZELENA DOLINA,KAMENICKI VRHOVEC LEPOGLAVA,163,90,3,,,17,54,7 KAMENICKI VRHOVEC LEPOGLAVA
2427,LEPOGLAVA,12,KAMENICKO PODGORJE 1,KUCA ZELJKA JUREN MERGED HETERO,KAMENICKO PODGORJE 76 LEPOGLAVA,211,84,1,,,25,52,KAMENICKO PODGORJE 1LEPOGLAVA MERGED HETERO
2428,LEPOGLAVA,13,KAMENICKO PODGORJE 2,KUCA KRISTIJANA GALIC,ZAROVNICA 215 LEPOGLAVA,149,49,5,,,11,22,13 KAMENICKO PODGORJE 2 LEPOGLAVA
2429,KALNIK,2,KAMESNICA,PROSTORIJE DVDA KAMESNICA,DURCI 2 KALNIK,151,83,2,,,45,30,2 KAMESNICA KALNIK
2430,RAB,4,KAMPOR,PODRUCNA SKOLA KAMPOR,KAMPOR RAB,959,455,43,,,218,146,4 KAMPOR RAB
2431,ZAGREBJUGOISTOK,1,KANAL,PRIRODOSLOVNA SKOLA VLADIMIRA PRELOGA,ULICA GRADA VUKOVARA 269 ZAGREBJUGOISTOK,1226,645,66,,,205,232,1 KANAL ZAGREBJUGOISTOK
2432,KANFANAR,1,KANFANAR,OS PETRA STUDENCA,DVIGRADSKA 3 KANFANAR KANFANAR,446,239,7,,,51,54,1 KANFANAR KANFANAR
2433,GARESNICA,12,KANISKA IVA,HRVATSKI SELJACKI DOM,KANISKA IVA 145 GARESNICA,370,161,21,,,74,34,12 KANISKA IVA GARESNICA
2434,BEBRINA,1,KANIZA,DRUSTVENI DOM KANIZA,KANIZA 117 BEBRINA,624,264,23,,,113,88,1 KANIZA BEBRINA
