,Grad,Rbr BM,Naziv BM,Lokacija BM,Adresa BM,Ukupno birača,Glasovalo ukupno,MOST,HDZ,SDP,BM
4085,OMIŠ,34,SRIJANE  II NEČAJ,PROSTORIJE OSNOVNE ŠKOLE U SRIJANIMA,"SRIJANE, OMIŠ",177,85,12,31,13,"34 SRIJANE  II NEČAJ, OMIŠ"
4086,OMIŠ,33,SRIJANE I ZIDINE,PROSTORIJE MJESNOG ODBORA U SRIJANIMA,"SRIJANE, OMIŠ",31,17,1,10,0,"33 SRIJANE I ZIDINE, OMIŠ"
4087,IVANSKA,11,SRIJEDSKA,VATROGASNI DOM,"SRIJEDSKA 47, IVANSKA",231,69,0,29,19,"11 SRIJEDSKA, IVANSKA"
4088,STARI JANKOVCI,5,SRIJEMSKE LAZE,ZGRADA MJESNOG ODBORA,"ULICA DANILA KOVAČEVIĆA 1, STARI JANKOVCI",409,32,3,7,13,"5 SRIJEMSKE LAZE, STARI JANKOVCI"
4089,SPLIT,157,SRINJINE,MJESNI ODBOR SRINJINE,"SRINJINE, SPLIT",560,263,39,122,32,"157 SRINJINE, SPLIT"
4090,SPLIT,158,SRINJINETVRČIĆI,MJESNI ODBOR TVRČIĆISRINJINE,"SRINJINE, SPLIT",413,225,24,89,31,"158 SRINJINETVRČIĆI, SPLIT"
4091,VIŠKOVOVIŠKOVO,15,SROKI,VATROGASNI DOM,"GORNJI SROKI 53, VIŠKOVOGORNJI SROKI 53, VIŠKOVO",2590,931,58,313,313,"7 SROKI, VIŠKOVO8 SROKI, VIŠKOVO"
4092,PLOČE,7,STABLINA,MJESNI ODBOR U STABLINI,"STABLINA, PLOČE",758,440,41,231,94,"7 STABLINA, PLOČE"
4093,ŠTRIGOVA,1,STANETINEC,OSNOVNA ŠKOLA,"STANETINEC 19B, ŠTRIGOVA",154,52,0,12,23,"1 STANETINEC, ŠTRIGOVA"
4094,KAPELA,8,STANIĆI,VATROGASNI DOM,"STANIĆI 39, KAPELA",92,45,4,12,10,"8 STANIĆI, KAPELA"
4095,GLINA,13,STANKOVAC,DRUŠTVENI DOM,"STANKOVAC BB, GLINA",75,33,0,28,0,"13 STANKOVAC, GLINA"
4096,STANKOVCI,1,STANKOVCI,DOM KULTURE U STANKOVCIMA,"STANKOVCI, STANKOVCI",574,291,29,145,41,"1 STANKOVCI, STANKOVCI"
4097,JASTREBARSKO,6,STANKOVO,DOM DVD MERGED HETERO,"STANKOVO, JASTREBARSKO",295,147,11,59,36,STANKOVO MERGED HETERO
4098,ZADAR,57,STANOVI,OSNOVNA ŠKOLA STANOVI,"ULICA RINE ARAS BB, ZADAR",1241,570,55,275,81,"57 STANOVI, ZADAR"
4099,ZADAR,58,STANOVI,OSNOVNA ŠKOLA STANOVI,"ULICA RINE ARAS BB, ZADAR",946,398,45,191,56,"58 STANOVI, ZADAR"
4100,ZADAR,59,STANOVI,OSNOVNA ŠKOLA STANOVI,"ULICA RINE ARAS BB, ZADAR",1311,594,52,256,139,"59 STANOVI, ZADAR"
4101,BJELOVAR,44,STANČIĆI,DOM U STANČIĆIMA,"STANČIĆI 14, BJELOVAR",79,28,4,10,9,"44 STANČIĆI, BJELOVAR"
4102,KAPELA,6,STARA DIKLENICA,DRUŠTVENI DOM,"STARA DIKLENICA 13, KAPELA",39,19,0,12,4,"6 STARA DIKLENICA, KAPELA"
4103,SISAK,54,STARA DRENČINA,DRUŠTVENI DOM STARA DRENČINA,"STARA DRENČINA BB, SISAK",172,110,1,67,24,"54 STARA DRENČINA, SISAK"
4104,STARA GRADIŠKA,1,STARA GRADIŠKA,ZGRADA OPĆINE,"TRG HRVATSKIH BRANITELJA 1, STARA GRADIŠKA",235,102,8,25,24,"1 STARA GRADIŠKA, STARA GRADIŠKA"
